Supplement ID;Classification Code;Dietary supplement name;Protein (g);Total fat (g);Dietary fibre (g);Preformed vitamin A (retinol) (µg);Beta-carotene (µg);Provitamin A (b-carotene equivalents) (µg);Vitamin A retinol equivalents (µg);Thiamin (B1) (mg);Riboflavin (B2) (mg);Niacin (B3) (mg);Niacin derived equivalents (mg);Folic acid  (µg);Dietary folate equivalents  (µg);Vitamin B6 (mg);Vitamin B12  (µg);Vitamin C (mg);Vitamin E (mg);Calcium (Ca) (mg);Iodine (I) (µg);Iron (Fe) (mg);Magnesium (Mg) (mg);Phosphorus (P) (mg);Potassium (K) (mg);Selenium (Se) (µg);Sodium (Na) (mg);Zinc (Zn) (mg);Caffeine (mg);Cholesterol (mg);Total saturated fat (g);Total monounsaturated fat (g);Total polyunsaturated fat (g);Linoleic acid (g);Alpha-linolenic acid (g);Total long chain omega 3 fatty acids (mg);Total trans fatty acids (mg);Purchase Link;Image Link;Price
10754;33101;Hepasol;0;0;0;0;0;0;0;0,11;0;0;0;0;0;0;0;0;0;1,7;0;0,39;0;1,9;0,3;0;0,2;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
11685;33301;Jia  Wei  Xiao  Yao  San [Bupleurum & Peony Formula];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
11733;33301;Xiao Yao San [Bupleurum & Danggui Formula];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
11898;33108;Melrose Vitamin C Ascorbic Acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
11900;33108;Melrose Vitamin C Calcium Ascorbate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;897,3;0;102,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
12148;33301;Nature's Way Garlic Perles Softgel Garlic Oil 1mg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
13504;33101;One-A-Day Capsules Fab Iron;0,04;0;0;0;0;0;0;13,78;10;50;50;0;0;4,1;8;75;0;1,6;0;13,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
14781;33301;Greenridge Vitex Agnus Castus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
15219;33101;Accomin Adult Mixture;0,02;0;0;0;0;0;0;0,89;0;0;0;0;0;0,4;2,5;0;0;0;0;1,04;0;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
15382;33201;Lipitac ;0;0,94;0;7,5;0;0;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;0,31;0,22;0,41;0,05;0,03;328;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
16411;33402;Ethical Nutrients Digestion Plus Digestive Enzymes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
16456;33106;Metagenics Zinc Tally Zinc 1.35mg/ml As Sulfate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,35;0;0;0;0;0;0;0;0;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
16596;33201;Salmon Oil 500 mg;0;0,47;0;3,8;0;0;3,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,3;0,16;0,11;0,21;0,03;0,02;164;0;https://www.supplementwarehouse.com.au/;https://i.ebayimg.com/images/g/Ny4AAOSwqMtici2Z/s-l1200.webp;100AUD
